user_hash,source,company,region,job_title,period_raw,start_date,end_date,is_present,parse_ok,company_display_full,company_display_short,company_norm,region_display_full,region_display_short,region_norm,job_title_short
50876c7133,talentCard,TBC Uzbekistan (Финтех),"Ташкент, Узбекистан",Менеджер проектов,02.2024 - 12.2025,2024-02-01,2025-12-01,False,True,TBC Uzbekistan (Финтех),TBC Uzbekistan (Финтех),tbc uzbekistan финтех,"Ташкент, Узбекистан","Ташкент, Узбекистан",Tashkent,Менеджер проектов
eba6dd91c3,talentCard,,"Moscow, Russia",Senior IT project management roles (telecom and large-scale event organizations),2011--2018,2011-01-01,2018-12-01,False,True,,,Not specified,"Moscow, Russia","Moscow, Russia",Moscow,Senior IT project management roles (telecom and large-sca...
eba6dd91c3,talentCard,Otto Group Russia,"Moscow, Russia",Head of IT Infrastructure Programs,12.2019 -- 07.2020,2019-12-01,2020-07-01,False,True,Otto Group Russia,Otto Group Russia,otto russia,"Moscow, Russia","Moscow, Russia",Moscow,Head of IT Infrastructure Programs
eba6dd91c3,talentCard,NLMK Group,"Moscow, Russia",IT Infrastructure Project & Portfolio Manager,07.2020 -- 12.2020,2020-07-01,2020-12-01,False,True,NLMK Group,NLMK Group,NLMK,"Moscow, Russia","Moscow, Russia",Moscow,IT Infrastructure Project & Portfolio Manager
eba6dd91c3,talentCard,Innovation Security Solutions Co.,"Moscow, Russia",Head of Project Management (Systems Integration),12.2020 -- 08.2021,2020-12-01,2021-08-01,False,True,Innovation Security Solutions Co.,Innovation Security Solutions Co.,innovation security solutions,"Moscow, Russia","Moscow, Russia",Moscow,Head of Project Management (Systems Integration)
eba6dd91c3,talentCard,Sberbank,"Moscow, Russia","Risk Manager, Key Technology Programs (Central IT)",08.2021 -- 10.2022,2021-08-01,2022-10-01,False,True,Sberbank,Sberbank,Сбер,"Moscow, Russia","Moscow, Russia",Moscow,"Risk Manager, Key Technology Programs (Central IT)"
eba6dd91c3,talentCard,Green Management Solutions,"Dubai, UAE",IT Project Manager (Smart HQ Infrastructure & Collaboration),01.2023 -- 07.2023,2023-01-01,2023-07-01,False,True,Green Management Solutions,Green Management Solutions,green management solutions,"Dubai, UAE","Dubai, UAE",Dubai,IT Project Manager (Smart HQ Infrastructure & Collaboration)
eba6dd91c3,talentCard,Green Management Solutions,"Dubai, UAE",Information Technology Business Partner (Head of Corporate IT / IT Operations),06.2023 -- 12.2024,2023-06-01,2024-12-01,False,True,Green Management Solutions,Green Management Solutions,green management solutions,"Dubai, UAE","Dubai, UAE",Dubai,Information Technology Business Partner (Head of Corporat...
eba6dd91c3,talentCard,Confidential,"Dubai, UAE",Information Technology Business Partner (IT Infrastructure & Operations Lead),01.2025 -- Present,2025-01-01,2026-02-01,True,True,Confidential,Confidential,confidential,"Dubai, UAE","Dubai, UAE",Dubai,Information Technology Business Partner (IT Infrastructur...
1a356bd12f,talentCard,Мобильные ТелеСистемы (МТС),Нижний Новгород,Оператор колл-центра / Специалист по работе с претензиями,07.2014 -- 02.2017,2014-07-01,2017-02-01,False,True,Мобильные ТелеСистемы (МТС),Мобильные ТелеСистемы (МТС),мобильные телесистемы мтс,Нижний Новгород,Нижний Новгород,Нижнии Новгород,Оператор колл-центра / Специалист по работе с претензиями
1a356bd12f,talentCard,Займиго МФК,Нижний Новгород,Менеджер по работе с клиентами / Андеррайтер,10.2017 -- 03.2018,2017-10-01,2018-03-01,False,True,Займиго МФК,Займиго МФК,заимиго мфк,Нижний Новгород,Нижний Новгород,Нижнии Новгород,Менеджер по работе с клиентами / Андеррайтер
1a356bd12f,talentCard,Займиго МФК,Нижний Новгород,Старший менеджер по работе с клиентами,04.2018 -- 08.2021,2018-04-01,2021-08-01,False,True,Займиго МФК,Займиго МФК,заимиго мфк,Нижний Новгород,Нижний Новгород,Нижнии Новгород,Старший менеджер по работе с клиентами
1a356bd12f,talentCard,"Займиго МФК (финтех-группа: Zaymigo, Кредиска и др.)",Нижний Новгород,"Руководитель фронт-офиса, Collection Director / Head of CC",10.2017 -- 03.2024,2017-10-01,2024-03-01,False,True,"Займиго МФК (финтех-группа: Zaymigo, Кредиска и др.)","Займиго МФК (финтех-группа: Zaymigo, Кредиска и др.)",заимиго мфк финтех группа zaymigo кредиска и др,Нижний Новгород,Нижний Новгород,Нижнии Новгород,"Руководитель фронт-офиса, Collection Director / Head of CC"
1a356bd12f,talentCard,"Astro7 (бренды Astro7, Aura7)",Москва,Руководитель экспертного отдела,03.2024 -- 06.2025,2024-03-01,2025-06-01,False,True,"Astro7 (бренды Astro7, Aura7)","Astro7 (бренды Astro7, Aura7)",astro7 бренды astro7 aura7,Москва,Москва,Moscow,Руководитель экспертного отдела
977686b7c2,talentCard,ВымпелКом / Билайн,,"Специалист по подбору персонала, C&B",2004--2006,2004-01-01,2006-12-01,False,True,ВымпелКом / Билайн,ВымпелКом / Билайн,вымпелком билаин,,,Not specified,"Специалист по подбору персонала, C&B"
977686b7c2,talentCard,Ренессанс-страхование,,Менеджер по персоналу,2006--2010,2006-01-01,2010-12-01,False,True,Ренессанс-страхование,Ренессанс-страхование,ренессанс страхование,,,Not specified,Менеджер по персоналу
977686b7c2,talentCard,Ростелеком,,Руководитель HR-направления «Олимпийские игры в Сочи-2014»: HR-поддержка крупного проекта,2011--2012,2011-01-01,2012-12-01,False,True,Ростелеком,Ростелеком,ростелеком,,,Not specified,Руководитель HR-направления «Олимпийские игры в Сочи-2014...
977686b7c2,talentCard,Московская Биржа,,HR бизнес-партнёр / Начальник отдела подбора персонала,09.2013 - 06.2021,2013-09-01,2021-06-01,False,True,Московская Биржа,Московская Биржа,московская биржа,,,Not specified,HR бизнес-партнёр / Начальник отдела подбора персонала
977686b7c2,talentCard,Группа компаний «Иннотех»,,Старший HR бизнес-партнёр,09.2022 - 04.2023,2022-09-01,2023-04-01,False,True,Группа компаний «Иннотех»,Группа компаний «Иннотех»,группа компании иннотех,,,Not specified,Старший HR бизнес-партнёр
977686b7c2,talentCard,Страховой дом ВСК,,Руководитель команды HRBP,09.2023 - 12.2024,2023-09-01,2024-12-01,False,True,Страховой дом ВСК,Страховой дом ВСК,страховои дом вск,,,Not specified,Руководитель команды HRBP
977686b7c2,talentCard,Группа компаний «Базовые решения»,,Директор по персоналу,01.2025 - present,2025-01-01,2026-02-01,True,True,Группа компаний «Базовые решения»,Группа компаний «Базовые решения»,группа компании базовые решения,,,Not specified,Директор по персоналу
977686b7c2,talentCard,Частная практика,,"Карьерный консультант, Executive-коуч",07.2021 - present,2021-07-01,2026-02-01,True,True,Частная практика,Частная практика,частная практика,,,Not specified,"Карьерный консультант, Executive-коуч"
cc3f2957d2,talentCard,Tengizchevroil,Kazakhstan,"Software Engineer, Real-Time Data Foundation",01.2019 - 12.2021,2019-01-01,2021-12-01,False,True,Tengizchevroil,Tengizchevroil,tengizchevroil,Kazakhstan,Kazakhstan,Kazakhstan,"Software Engineer, Real-Time Data Foundation"
cc3f2957d2,talentCard,Artillegence,,Senior Big Data Engineer,01.2018 - 12.2021,2018-01-01,2021-12-01,False,True,Artillegence,Artillegence,artillegence,,,Not specified,Senior Big Data Engineer
cc3f2957d2,talentCard,Tengizchevroil,Kazakhstan,"Technical Lead, Production Optimization Product Line",01.2021 - 12.2024,2021-01-01,2024-12-01,False,True,Tengizchevroil,Tengizchevroil,tengizchevroil,Kazakhstan,Kazakhstan,Kazakhstan,"Technical Lead, Production Optimization Product Line"
cc3f2957d2,talentCard,Tengizchevroil,Kazakhstan,"Technical Lead, Security Digital Initiatives",01.2024 - 12.2025,2024-01-01,2025-12-01,False,True,Tengizchevroil,Tengizchevroil,tengizchevroil,Kazakhstan,Kazakhstan,Kazakhstan,"Technical Lead, Security Digital Initiatives"
cc3f2957d2,talentCard,Tengizchevroil,Kazakhstan,"Technical Lead, Corporate Program",01.2025 - present,2025-01-01,2026-02-01,True,True,Tengizchevroil,Tengizchevroil,tengizchevroil,Kazakhstan,Kazakhstan,Kazakhstan,"Technical Lead, Corporate Program"
fbb3e67545,talentCard,Tanix Group,,Project Management Intern,05.2018 - 10.2018,2018-05-01,2018-10-01,False,True,Tanix Group,Tanix Group,TANIX,,,Not specified,Project Management Intern
fbb3e67545,talentCard,Yellow Systems,,Project Manager,10.2018 - 08.2021,2018-10-01,2021-08-01,False,True,Yellow Systems,Yellow Systems,yellow systems,,,Not specified,Project Manager
fbb3e67545,talentCard,Paralect,"Warsaw, Poland",Project Manager,08.2021 - 01.2023,2021-08-01,2023-01-01,False,True,Paralect,Paralect,paralect,"Warsaw, Poland","Warsaw, Poland",Warsaw,Project Manager
fbb3e67545,talentCard,Softeq,"Warsaw, Poland",Senior Project Manager,02.2023 - present,2023-02-01,2026-02-01,True,True,Softeq,Softeq,softeq,"Warsaw, Poland","Warsaw, Poland",Warsaw,Senior Project Manager
bf694ef194,talentCard,Avnon Group,"Kfar Saba, Israel",Marketing Communications,01.2018 - 01.2020,2018-01-01,2020-01-01,False,True,Avnon Group,Avnon Group,AVNON,"Kfar Saba, Israel","Kfar Saba, Israel",Israel,Marketing Communications
bf694ef194,talentCard,ActiveFence,"Ramat Gan, Israel",Intelligence Analyst (OSINT),03.2021 - 04.2023,2021-03-01,2023-04-01,False,True,ActiveFence,ActiveFence,activefence,"Ramat Gan, Israel","Ramat Gan, Israel",Israel,Intelligence Analyst (OSINT)
bf694ef194,talentCard,Ernst & Young,"Tel Aviv, Israel",Technology Risk Manager,07.2021 - present,2021-07-01,2026-02-01,True,True,Ernst & Young,Ernst & Young,ernst and young,"Tel Aviv, Israel","Tel Aviv, Israel",Israel,Technology Risk Manager
682a20470d,talentCard,"НБ ""ТРАСТ"" (ОАО) / Кубаньэнерго ОАО / ООО ""Русский Стиль-97""",Майкоп,Экономист / Операционист / Старший специалист торгового зала,03.2007 -- 11.2011,2007-03-01,2011-11-01,False,True,"НБ ""ТРАСТ"" (ОАО) / Кубаньэнерго ОАО / ООО ""Русский Стиль-97""","НБ ""ТРАСТ"" (ОАО) / Кубаньэнерго ОАО / ООО ""Русский Стиль-97""",нб траст кубаньэнерго русскии стиль 97,Майкоп,Майкоп,Маикоп,Экономист / Операционист / Старший специалист торгового зала
682a20470d,talentCard,"ООО ""Евросеть-Ритейл""",Майкоп,Менеджер по продажам,05.2012 -- 10.2014,2012-05-01,2014-10-01,False,True,"ООО ""Евросеть-Ритейл""","ООО ""Евросеть-Ритейл""",евросеть ритеил,Майкоп,Майкоп,Маикоп,Менеджер по продажам
682a20470d,talentCard,Билайн-Вымпелком // Оптово-розничная компания (ИП Обушенков М.А.),Москва,Менеджер по продажам и обслуживанию клиентов / Руководитель офиса продаж,10.2014 -- 03.2023,2014-10-01,2023-03-01,False,True,Билайн-Вымпелком // Оптово-розничная компания (ИП Обушенков М.А.),Билайн-Вымпелком // Оптово-розничная компания (ИП Обушенк...,билаин вымпелком оптово розничная компания обушенков м а,Москва,Москва,Moscow,Менеджер по продажам и обслуживанию клиентов / Руководите...
682a20470d,talentCard,"ООО ""Европейская Электротехника Дубна""",Москва,Менеджер сопровождения проектных продаж,03.2023 -- 03.2024,2023-03-01,2024-03-01,False,True,"ООО ""Европейская Электротехника Дубна""","ООО ""Европейская Электротехника Дубна""",европеиская электротехника дубна,Москва,Москва,Moscow,Менеджер сопровождения проектных продаж
682a20470d,talentCard,Элком-электро,Москва,Менеджер по сопровождению клиентов,07.2024 -- 12.2025,2024-07-01,2025-12-01,False,True,Элком-электро,Элком-электро,элком электро,Москва,Москва,Moscow,Менеджер по сопровождению клиентов
5f056cbdc4,talentCard,SCHLUMBERGER,Russia,Service Delivery Manager / Network Engineer,11.2009 - 01.2013,2009-11-01,2013-01-01,False,True,SCHLUMBERGER,SCHLUMBERGER,schlumberger,Russia,Russia,Russia,Service Delivery Manager / Network Engineer
5f056cbdc4,talentCard,SITRONICS,,Senior Project Manager,01.2013 - 01.2014,2013-01-01,2014-01-01,False,True,SITRONICS,SITRONICS,sitronics,,,Not specified,Senior Project Manager
5f056cbdc4,talentCard,KASPERSKY LAB,"Moscow, Russia",Key Account Manager,01.2014 - 09.2017,2014-01-01,2017-09-01,False,True,KASPERSKY LAB,KASPERSKY LAB,Лаборатория Касперского,"Moscow, Russia","Moscow, Russia",Moscow,Key Account Manager
5f056cbdc4,talentCard,ENEC OPERATIONS,"Abu Dhabi, UAE",Project Manager,09.2017 - 09.2024,2017-09-01,2024-09-01,False,True,ENEC OPERATIONS,ENEC OPERATIONS,enec operations,"Abu Dhabi, UAE","Abu Dhabi, UAE",Abu Dhabi,Project Manager
5f056cbdc4,talentCard,HUAWEI,"Moscow, Russia",Senior Project Manager,09.2024 - 11.2025,2024-09-01,2025-11-01,False,True,HUAWEI,HUAWEI,huawei,"Moscow, Russia","Moscow, Russia",Moscow,Senior Project Manager
8671adf8de,talentCard,Quorbis,,Frontend Developer,09.2020 - 05.2024,2020-09-01,2024-05-01,False,True,Quorbis,Quorbis,quorbis,,,Not specified,Frontend Developer
8671adf8de,talentCard,MWI digital-агентство,,Frontend Developer,05.2024 - 09.2024,2024-05-01,2024-09-01,False,True,MWI digital-агентство,MWI digital-агентство,mwi digital агентство,,,Not specified,Frontend Developer
8671adf8de,talentCard,Migron,,Frontend Developer,11.2024 - present,2024-11-01,2026-02-01,True,True,Migron,Migron,migron,,,Not specified,Frontend Developer
52384af408,talentCard,Toyota,,Marketing Manager,2010 - 2021,2010-01-01,2021-12-01,False,True,Toyota,Toyota,toyota,,,Not specified,Marketing Manager
52384af408,talentCard,,Contract & Remote,Product Advisor,2022 - 2025,2022-01-01,2025-12-01,False,True,,,Not specified,Contract & Remote,Contract & Remote,Contract & Remote,Product Advisor
52384af408,talentCard,Cybring,,"Product Manager (Cybersecurity, B2B/B2G)",2021 - 2023,2021-01-01,2023-12-01,False,True,Cybring,Cybring,cybring,,,Not specified,"Product Manager (Cybersecurity, B2B/B2G)"
52384af408,talentCard,Melisron,,"Product Manager (e-commerce, SaaS, B2B/B2C)",2023 - 2025,2023-01-01,2025-12-01,False,True,Melisron,Melisron,melisron,,,Not specified,"Product Manager (e-commerce, SaaS, B2B/B2C)"
52384af408,talentCard,Smoove,,"Product Manager (SaaS, B2B/B2G) - Maternity leave replacement",2025 - present,2025-01-01,2026-02-01,True,True,Smoove,Smoove,smoove,,,Not specified,"Product Manager (SaaS, B2B/B2G) - Maternity leave replace..."
bb944adabf,talentCard,R-Style SoftLab,,"Senior QA Engineer, QA Manager",04.2011 - 12.2016,2011-04-01,2016-12-01,False,True,R-Style SoftLab,R-Style SoftLab,r style softlab,,,Not specified,"Senior QA Engineer, QA Manager"
bb944adabf,talentCard,Sberbank,,Head of QA Department,12.2016 - 01.2019,2016-12-01,2019-01-01,False,True,Sberbank,Sberbank,Сбер,,,Not specified,Head of QA Department
bb944adabf,talentCard,CMA Small Systems AB,,Delivery Manager / Head of QA Department,01.2019 - 09.2023,2019-01-01,2023-09-01,False,True,CMA Small Systems AB,CMA Small Systems AB,cma small systems ab,,,Not specified,Delivery Manager / Head of QA Department
bb944adabf,talentCard,Samolet Plus,,Agile Project Manager,02.2024 - 07.2024,2024-02-01,2024-07-01,False,True,Samolet Plus,Samolet Plus,samolet plus,,,Not specified,Agile Project Manager
bb944adabf,talentCard,Grid Dynamics,,Senior Delivery Manager,07.2024 - present,2024-07-01,2026-02-01,True,True,Grid Dynamics,Grid Dynamics,grid dynamics,,,Not specified,Senior Delivery Manager
4a0d0d0746,talentCard,Binnopharm Group,"Moscow, Russia",Biotechnologist,2017 -- 2020,2017-01-01,2020-12-01,False,True,Binnopharm Group,Binnopharm Group,binnopharm,"Moscow, Russia","Moscow, Russia",Moscow,Biotechnologist
4a0d0d0746,talentCard,Johnson & Johnson,"Moscow, Russia",Medical Representative,2020 -- 2021,2020-01-01,2021-12-01,False,True,Johnson & Johnson,Johnson & Johnson,johnson and johnson,"Moscow, Russia","Moscow, Russia",Moscow,Medical Representative
4a0d0d0746,talentCard,BostonGene,"Boston, MA",Software Engineer / Data Engineer,2021 -- 2025,2021-01-01,2025-12-01,False,True,BostonGene,BostonGene,bostongene,"Boston, MA","Boston, MA","Boston, Ma",Software Engineer / Data Engineer
3fd67073dd,talentCard,Kontur-Nowokuznetsk,"Novokuznetsk, Russia",Software Developer,01.2004 -- 08.2005,2004-01-01,2005-08-01,False,True,Kontur-Nowokuznetsk,Kontur-Nowokuznetsk,kontur nowokuznetsk,"Novokuznetsk, Russia","Novokuznetsk, Russia",Russia,Software Developer
3fd67073dd,talentCard,Nowokuznetsk Municipal Bank,"Novokuznetsk, Russia",Software Developer,09.2005 -- 01.2008,2005-09-01,2008-01-01,False,True,Nowokuznetsk Municipal Bank,Nowokuznetsk Municipal Bank,nowokuznetsk municipal bank,"Novokuznetsk, Russia","Novokuznetsk, Russia",Russia,Software Developer
3fd67073dd,talentCard,Center of Financial Technologies,"Novosibirsk, Russia",Senior Oracle Developer,01.2008 -- 11.2012,2008-01-01,2012-11-01,False,True,Center of Financial Technologies,Center of Financial Technologies,center of financial technologies,"Novosibirsk, Russia","Novosibirsk, Russia",Novosibirsk,Senior Oracle Developer
3fd67073dd,talentCard,Sberbank-Technologies,"Novosibirsk, Russia",Senior Software Developer,11.2012 -- 12.2013,2012-11-01,2013-12-01,False,True,Sberbank-Technologies,Sberbank-Technologies,Сбер,"Novosibirsk, Russia","Novosibirsk, Russia",Novosibirsk,Senior Software Developer
3fd67073dd,talentCard,Wellink Technologies,"Novosibirsk, Russia",Java Developer,01.2014 -- 07.2015,2014-01-01,2015-07-01,False,True,Wellink Technologies,Wellink Technologies,wellink technologies,"Novosibirsk, Russia","Novosibirsk, Russia",Novosibirsk,Java Developer
3fd67073dd,talentCard,Sberbank-Technologies,"Novosibirsk, Russia",Senior Java Developer,08.2015 -- 10.2017,2015-08-01,2017-10-01,False,True,Sberbank-Technologies,Sberbank-Technologies,Сбер,"Novosibirsk, Russia","Novosibirsk, Russia",Novosibirsk,Senior Java Developer
3fd67073dd,talentCard,Compart AG,Böblingen,Senior Java Developer,11.2017 -- 06.2019,2017-11-01,2019-06-01,False,True,Compart AG,Compart AG,compart ag,Böblingen,Böblingen,Boblingen,Senior Java Developer
3fd67073dd,talentCard,Star Systems GmbH,Böblingen,Senior Java Developer,07.2019 -- 11.2019,2019-07-01,2019-11-01,False,True,Star Systems GmbH,Star Systems GmbH,star systems,Böblingen,Böblingen,Boblingen,Senior Java Developer
3fd67073dd,talentCard,AnyDesk GmbH,Stuttgart,Senior Software Developer,11.2019 -- 11.2021,2019-11-01,2021-11-01,False,True,AnyDesk GmbH,AnyDesk GmbH,anydesk,Stuttgart,Stuttgart,Stuttgart,Senior Software Developer
3fd67073dd,talentCard,Robert Bosch GmbH,,Senior Software Engineer,12.2021 -- 12.2022,2021-12-01,2022-12-01,False,True,Robert Bosch GmbH,Robert Bosch GmbH,robert bosch,,,Not specified,Senior Software Engineer
3fd67073dd,talentCard,Robert Bosch GmbH,,Technical Lead,12.2022 -- 08.2024,2022-12-01,2024-08-01,False,True,Robert Bosch GmbH,Robert Bosch GmbH,robert bosch,,,Not specified,Technical Lead
3fd67073dd,talentCard,Robert Bosch GmbH,,Software / Solution Architect,08.2024 -- 12.2025,2024-08-01,2025-12-01,False,True,Robert Bosch GmbH,Robert Bosch GmbH,robert bosch,,,Not specified,Software / Solution Architect
3fd67073dd,talentCard,Schwarz IT KG,,Software Engineer,02.2026 -- present,2026-02-01,2026-02-01,True,True,Schwarz IT KG,Schwarz IT KG,schwarz it kg,,,Not specified,Software Engineer
c50f221f25,talentCard,ЗАО Прогноз,Пермь,Руководитель проектов,03.2008 - 11.2014,2008-03-01,2014-11-01,False,True,ЗАО Прогноз,ЗАО Прогноз,прогноз,Пермь,Пермь,Пермь,Руководитель проектов
c50f221f25,talentCard,ИРМ Девелопмент,Москва,Руководитель IT проектов,11.2014 - 08.2017,2014-11-01,2017-08-01,False,True,ИРМ Девелопмент,ИРМ Девелопмент,ирм девелопмент,Москва,Москва,Moscow,Руководитель IT проектов
c50f221f25,talentCard,Банк ВТБ (ПАО),Москва,Старший системный аналитик → Руководитель проектов,09.2017 - 06.2021,2017-09-01,2021-06-01,False,True,Банк ВТБ (ПАО),Банк ВТБ (ПАО),ВТБ,Москва,Москва,Moscow,Старший системный аналитик → Руководитель проектов
c50f221f25,talentCard,"Газпромбанк, ОАО",Москва,Руководитель IT проектов,06.2021 - present,2021-06-01,2026-02-01,True,True,"Газпромбанк, ОАО","Газпромбанк, ОАО",Газпромбанк,Москва,Москва,Moscow,Руководитель IT проектов
7095725743,talentCard,Leonardo S.p.A.,Москва,Координатор международных проектов,05.2011 - 03.2023,2011-05-01,2023-03-01,False,True,Leonardo S.p.A.,Leonardo S.p.A.,leonardo s p a,Москва,Москва,Moscow,Координатор международных проектов
7095725743,talentCard,Бизапс,Москва,Менеджер ИТ проектов,03.2023 - 05.2024,2023-03-01,2024-05-01,False,True,Бизапс,Бизапс,бизапс,Москва,Москва,Moscow,Менеджер ИТ проектов
7095725743,talentCard,АЙФЭЛЛ (iFellow),Москва,Руководитель проектов по разработке информационных систем,06.2024 - present,2024-06-01,2026-02-01,True,True,АЙФЭЛЛ (iFellow),АЙФЭЛЛ (iFellow),аифэлл ifellow,Москва,Москва,Moscow,Руководитель проектов по разработке информационных систем
a425dc80e4,talentCard,МТС,Россия,Специалист по аренде и договорным отношениям,10.2017 - 12.2020,2017-10-01,2020-12-01,False,True,МТС,МТС,МТС,Россия,Россия,Russia,Специалист по аренде и договорным отношениям
a425dc80e4,talentCard,MetaLamp,Томск,Project Manager (Web2/Web3-разработка),04.2021 - 12.2024,2021-04-01,2024-12-01,False,True,MetaLamp,MetaLamp,metalamp,Томск,Томск,Томск,Project Manager (Web2/Web3-разработка)
a425dc80e4,talentCard,WINbd,Томск,Ментор курса ``Project Management in IT'' (проектная работа),10.2021 - 10.2024,2021-10-01,2024-10-01,False,True,WINbd,WINbd,WINBD,Томск,Томск,Томск,Ментор курса ``Project Management in IT'' (проектная работа)
a425dc80e4,talentCard,MetaLamp,Томск,Head of Project Management Office (Web3-разработка),01.2024 - present,2024-01-01,2026-02-01,True,True,MetaLamp,MetaLamp,metalamp,Томск,Томск,Томск,Head of Project Management Office (Web3-разработка)
b51ec51e64,talentCard,Cadence Design Systems LLC,"Moscow, Russia",Senior Software Engineer / PV Team Lead,06.2002 - 08.2006,2002-06-01,2006-08-01,False,True,Cadence Design Systems LLC,Cadence Design Systems LLC,cadence design systems,"Moscow, Russia","Moscow, Russia",Moscow,Senior Software Engineer / PV Team Lead
b51ec51e64,talentCard,IBM Science and Technology Center (IBM STC),"Moscow, Russia",z/OS Service Test --- Technical Team Lead,08.2006 - 01.2022,2006-08-01,2022-01-01,False,True,IBM Science and Technology Center (IBM STC),IBM Science and Technology Center (IBM STC),ibm science and technology center ibm stc,"Moscow, Russia","Moscow, Russia",Moscow,z/OS Service Test --- Technical Team Lead
b51ec51e64,talentCard,Citibank --- Institutional Clients Group,"Moscow, Russia","Commodities Risk --- Head of QA, VP",08.2021 - 08.2023,2021-08-01,2023-08-01,False,True,Citibank --- Institutional Clients Group,Citibank --- Institutional Clients Group,citibank institutional clients,"Moscow, Russia","Moscow, Russia",Moscow,"Commodities Risk --- Head of QA, VP"
b51ec51e64,talentCard,BeamTrail,"Abu Dhabi, UAE",Cellular Core Network --- Head of Automation and Devops,08.2023 - present,2023-08-01,2026-02-01,True,True,BeamTrail,BeamTrail,beamtrail,"Abu Dhabi, UAE","Abu Dhabi, UAE",Abu Dhabi,Cellular Core Network --- Head of Automation and Devops
449c0dc56a,talentCard,SEOQuick,"Odesa, Ukraine",SEO Specialist,11.2015 - 04.2019,2015-11-01,2019-04-01,False,True,SEOQuick,SEOQuick,seoquick,"Odesa, Ukraine","Odesa, Ukraine",Ukraine,SEO Specialist
449c0dc56a,talentCard,ECG,"Odesa, Ukraine",SEO Manager,04.2019 - 08.2019,2019-04-01,2019-08-01,False,True,ECG,ECG,ECG,"Odesa, Ukraine","Odesa, Ukraine",Ukraine,SEO Manager
